,percentile,cdf
0,0,0.0
1,40,62.0
2,45,107.0
3,50,108.0
4,55,186.0
5,60,216.0
6,65,376.0
7,70,570.0
8,73,752.0
9,75,929.0
10,77,1128.0
11,80,1284.0
12,81,1326.0
13,82,1547.0
14,83,1796.0
15,84,2225.0
16,85,2568.0
17,86,2868.0
18,87,3553.0
19,88,4374.0
20,89,5350.0
21,90,6871.0
22,91,9651.0
23,92,14091.0
24,93,20700.0
25,94,35984.0
26,95,65550.0
27,96,103003.0
28,97,137710.0
29,98,275420.0
30,99,852223.0
31,100,340457054.0
