,percentile,cdf
0,0,0.0
1,1,0.5587341785430908
2,2,0.6172518730163574
3,5,0.7515859603881836
4,10,1.0004119873046875
5,15,1.2551288604736328
6,20,1.5433311462402344
7,25,1.9881770610809328
8,30,2.104647159576416
9,35,2.628596067428589
10,40,2.868065118789673
11,45,2.890224933624268
12,50,2.9120290279388428
13,55,2.9321558475494385
14,60,2.95595383644104
15,65,2.9760468006134038
16,70,2.9986040592193604
17,75,3.9100341796875
18,80,5.755944013595581
19,85,8.247779130935669
20,90,12.714550971984863
21,91,14.734561920166016
22,92,17.014596223831177
23,93,20.003345012664795
24,94,24.06790804862976
25,95,30.053613901138306
26,96,37.410836935043335
27,97,50.6382200717926
28,98,61.38493204116821
29,99,80.78495001792908
30,100,6119.143639087677
