,src_dst_id,src_id,dst_id,flow_num
144,1564_259,1564.0,259.0,2886
95,1334_259,1334.0,259.0,2882
19,1048_259,1048.0,259.0,2881
34,1108_259,1108.0,259.0,2871
102,1372_259,1372.0,259.0,2851
99,1362_259,1362.0,259.0,2745
22,1068_259,1068.0,259.0,2736
17,1036_259,1036.0,259.0,2734
74,1244_259,1244.0,259.0,2729
0,154_259,154.0,259.0,2729
137,1550_259,1550.0,259.0,2727
111,1408_259,1408.0,259.0,2724
82,1289_259,1289.0,259.0,2723
101,1371_259,1371.0,259.0,2723
3,161_259,161.0,259.0,2722
62,1239_259,1239.0,259.0,2722
52,1223_259,1223.0,259.0,2722
92,1326_259,1326.0,259.0,2720
35,1109_259,1109.0,259.0,2719
336,1613_259,1613.0,259.0,2718
383,1734_259,1734.0,259.0,2717
20,1049_259,1049.0,259.0,2717
382,1726_259,1726.0,259.0,2717
380,1724_259,1724.0,259.0,2717
80,1284_259,1284.0,259.0,2716
129,1488_259,1488.0,259.0,2714
26,1078_259,1078.0,259.0,2714
33,1107_259,1107.0,259.0,2714
96,1336_259,1336.0,259.0,2714
47,1189_259,1189.0,259.0,2713
103,1373_259,1373.0,259.0,2712
28,1082_259,1082.0,259.0,2711
123,1438_259,1438.0,259.0,2711
36,1110_259,1110.0,259.0,2710
78,1275_259,1275.0,259.0,2709
38,1113_259,1113.0,259.0,2708
76,1263_259,1263.0,259.0,2708
154,1579_259,1579.0,259.0,2703
377,1677_259,1677.0,259.0,2701
43,1137_259,1137.0,259.0,2697
24,1074_259,1074.0,259.0,2696
241,1603_1612,1603.0,1612.0,2594
331,1612_1603,1612.0,1603.0,2580
86,1302_1607,1302.0,1607.0,2245
156,1581_1607,1581.0,1607.0,2201
277,1607_1581,1607.0,1581.0,2187
181,1594_377,1594.0,377.0,2166
209,1599_1609,1599.0,1609.0,2055
288,1609_1599,1609.0,1599.0,2045
9,1009_1610,1009.0,1610.0,2021
119,1425_1596,1425.0,1596.0,2015
305,1610_1009,1610.0,1009.0,2008
186,1596_1425,1596.0,1425.0,2001
142,1559_1597,1559.0,1597.0,1807
57,1238_1607,1238.0,1607.0,1774
192,1597_1559,1597.0,1559.0,1773
271,1607_1238,1607.0,1238.0,1766
236,1603_826,1603.0,826.0,1665
25,1076_1079,1076.0,1079.0,1598
132,1513_1514,1513.0,1514.0,1567
166,1590_1240,1590.0,1240.0,1563
217,1602_404,1602.0,404.0,1562
63,1240_1590,1240.0,1590.0,1561
364,1620_1612,1620.0,1612.0,1538
58,1238_1610,1238.0,1610.0,1523
335,1612_1620,1612.0,1620.0,1519
310,1610_1238,1610.0,1238.0,1514
182,1594_826,1594.0,826.0,1495
265,1607_347,1607.0,347.0,1315
233,1603_343,1603.0,343.0,1277
50,1215_1755,1215.0,1755.0,1257
213,1602_145,1602.0,145.0,1241
281,1608_1612,1608.0,1612.0,1217
332,1612_1608,1612.0,1608.0,1214
56,1238_1605,1238.0,1605.0,1209
117,1424_1596,1424.0,1596.0,1199
254,1605_1238,1605.0,1238.0,1198
185,1596_1424,1596.0,1424.0,1186
298,1610_726,1610.0,726.0,1173
239,1603_1609,1603.0,1609.0,1156
290,1609_1603,1609.0,1603.0,1148
210,1599_1611,1599.0,1611.0,1140
320,1611_1599,1611.0,1599.0,1130
151,1575_1597,1575.0,1597.0,1118
199,1597_1575,1597.0,1575.0,1108
232,1602_2336,1602.0,2336.0,1091
69,1241_1597,1241.0,1597.0,1071
188,1597_1241,1597.0,1241.0,1059
274,1607_1302,1607.0,1302.0,1048
138,1555_1597,1555.0,1597.0,1039
189,1597_1555,1597.0,1555.0,1032
143,1560_1597,1560.0,1597.0,1028
246,1605_867,1605.0,867.0,1001
282,1609_404,1609.0,404.0,977
155,1580_1597,1580.0,1597.0,976
202,1597_1580,1597.0,1580.0,971
60,1238_1618,1238.0,1618.0,938
350,1618_1238,1618.0,1238.0,933
385,1749_1755,1749.0,1755.0,923
359,1620_343,1620.0,343.0,911
18,1045_1605,1045.0,1605.0,911
370,1654_1607,1654.0,1607.0,909
279,1607_1654,1607.0,1654.0,907
252,1605_1045,1605.0,1045.0,899
224,1602_1609,1602.0,1609.0,868
289,1609_1602,1609.0,1602.0,865
49,1209_1755,1209.0,1755.0,853
105,1388_1607,1388.0,1607.0,852
44,1143_1607,1143.0,1607.0,849
270,1607_1143,1607.0,1143.0,845
297,1610_724,1610.0,724.0,837
93,1328_1607,1328.0,1607.0,817
275,1607_1328,1607.0,1328.0,817
193,1597_1560,1597.0,1560.0,814
64,1240_1591,1240.0,1591.0,808
148,1573_1597,1573.0,1597.0,802
176,1591_1240,1591.0,1240.0,801
299,1610_863,1610.0,863.0,795
197,1597_1573,1597.0,1573.0,789
110,1397_1610,1397.0,1610.0,775
312,1610_1397,1610.0,1397.0,774
84,1293_1607,1293.0,1607.0,771
175,1590_2263,1590.0,2263.0,770
273,1607_1293,1607.0,1293.0,764
108,1394_1620,1394.0,1620.0,753
362,1620_1394,1620.0,1394.0,752
302,1610_984,1610.0,984.0,743
276,1607_1388,1607.0,1388.0,741
6,1006_1605,1006.0,1605.0,740
251,1605_1006,1605.0,1006.0,738
14,1022_1610,1022.0,1610.0,734
306,1610_1022,1610.0,1022.0,727
94,1329_1605,1329.0,1605.0,722
357,1619_1609,1619.0,1609.0,715
258,1605_1329,1605.0,1329.0,712
248,1605_978,1605.0,978.0,710
372,1656_1610,1656.0,1610.0,710
293,1609_1619,1609.0,1619.0,709
317,1610_1656,1610.0,1656.0,701
150,1574_1597,1574.0,1597.0,698
363,1620_1609,1620.0,1609.0,696
198,1597_1574,1597.0,1574.0,696
294,1609_1620,1609.0,1620.0,680
235,1603_817,1603.0,817.0,667
147,1572_1597,1572.0,1597.0,659
39,1115_1607,1115.0,1607.0,654
196,1597_1572,1597.0,1572.0,652
376,1672_1610,1672.0,1610.0,651
269,1607_1115,1607.0,1115.0,649
361,1620_1240,1620.0,1240.0,649
244,1605_697,1605.0,697.0,646
68,1240_1620,1240.0,1620.0,646
88,1311_1605,1311.0,1605.0,643
255,1605_1311,1605.0,1311.0,640
318,1610_1672,1610.0,1672.0,640
145,1569_1597,1569.0,1597.0,636
194,1597_1569,1597.0,1569.0,633
7,1007_1610,1007.0,1610.0,629
303,1610_1007,1610.0,1007.0,628
268,1607_968,1607.0,968.0,621
240,1603_1611,1603.0,1611.0,609
368,1640_1607,1640.0,1607.0,607
4,1000_1605,1000.0,1605.0,603
322,1612_995,1612.0,995.0,602
250,1605_1000,1605.0,1000.0,600
207,1599_779,1599.0,779.0,600
278,1607_1640,1607.0,1640.0,599
247,1605_966,1605.0,966.0,599
321,1611_1603,1611.0,1603.0,597
158,1588_1597,1588.0,1597.0,583
204,1597_1588,1597.0,1588.0,576
177,1592_1609,1592.0,1609.0,576
72,1241_1619,1241.0,1619.0,575
356,1619_1241,1619.0,1241.0,569
285,1609_1592,1609.0,1592.0,566
121,1433_1596,1433.0,1596.0,563
187,1596_1433,1596.0,1433.0,558
152,1576_1597,1576.0,1597.0,547
343,1616_719,1616.0,719.0,546
109,1396_1610,1396.0,1610.0,545
327,1612_1595,1612.0,1595.0,544
227,1602_1761,1602.0,1761.0,543
200,1597_1576,1597.0,1576.0,542
245,1605_712,1605.0,712.0,541
153,1577_1597,1577.0,1597.0,541
311,1610_1396,1610.0,1396.0,538
201,1597_1577,1597.0,1577.0,538
184,1595_1612,1595.0,1612.0,538
66,1240_1618,1240.0,1618.0,533
179,1592_1612,1592.0,1612.0,529
300,1610_965,1610.0,965.0,524
42,1126_1605,1126.0,1605.0,523
351,1618_1240,1618.0,1240.0,521
253,1605_1126,1605.0,1126.0,520
325,1612_1592,1612.0,1592.0,517
146,1571_1597,1571.0,1597.0,514
195,1597_1571,1597.0,1571.0,513
124,1439_1590,1439.0,1590.0,513
339,1614_975,1614.0,975.0,509
170,1590_1439,1590.0,1439.0,506
249,1605_983,1605.0,983.0,505
222,1602_1419,1602.0,1419.0,491
40,1121_1610,1121.0,1610.0,482
309,1610_1121,1610.0,1121.0,478
106,1391_1605,1391.0,1605.0,476
259,1605_1391,1605.0,1391.0,476
139,1557_1597,1557.0,1597.0,472
205,1597_1609,1597.0,1609.0,470
190,1597_1557,1597.0,1557.0,467
287,1609_1597,1609.0,1597.0,465
308,1610_1093,1610.0,1093.0,465
296,1610_702,1610.0,702.0,463
30,1093_1610,1093.0,1610.0,461
374,1661_1603,1661.0,1603.0,449
242,1603_1661,1603.0,1661.0,445
140,1558_1597,1558.0,1597.0,440
178,1592_1611,1592.0,1611.0,436
12,1018_1603,1018.0,1603.0,436
261,1605_1609,1605.0,1609.0,432
112,1411_1610,1411.0,1610.0,432
191,1597_1558,1597.0,1558.0,430
237,1603_1018,1603.0,1018.0,430
319,1611_1592,1611.0,1592.0,428
234,1603_424,1603.0,424.0,428
291,1609_1605,1609.0,1605.0,427
328,1612_1597,1612.0,1597.0,422
215,1602_197,1602.0,197.0,421
206,1597_1612,1597.0,1612.0,421
267,1607_967,1607.0,967.0,420
313,1610_1411,1610.0,1411.0,420
116,1424_1590,1424.0,1590.0,418
168,1590_1424,1590.0,1424.0,413
71,1241_1618,1241.0,1618.0,411
243,1603_1680,1603.0,1680.0,410
367,1639_1610,1639.0,1610.0,410
345,1618_337,1618.0,337.0,409
352,1618_1241,1618.0,1241.0,408
378,1680_1603,1680.0,1603.0,408
65,1240_1609,1240.0,1609.0,408
183,1595_1609,1595.0,1609.0,406
160,1590_764,1590.0,764.0,406
375,1662_1605,1662.0,1605.0,402
180,1593_1612,1593.0,1612.0,401
264,1605_1662,1605.0,1662.0,399
316,1610_1639,1610.0,1639.0,398
326,1612_1593,1612.0,1593.0,398
286,1609_1595,1609.0,1595.0,398
45,1143_1618,1143.0,1618.0,396
348,1618_1143,1618.0,1143.0,395
15,1030_1614,1030.0,1614.0,395
91,1324_1605,1324.0,1605.0,393
257,1605_1324,1605.0,1324.0,392
340,1614_1030,1614.0,1030.0,391
347,1618_826,1618.0,826.0,386
283,1609_1240,1609.0,1240.0,386
260,1605_1419,1605.0,1419.0,385
70,1241_1609,1241.0,1609.0,381
164,1590_1018,1590.0,1018.0,380
118,1425_1590,1425.0,1590.0,380
169,1590_1425,1590.0,1425.0,378
11,1018_1590,1018.0,1590.0,377
295,1610_365,1610.0,365.0,376
114,1419_1605,1419.0,1605.0,375
125,1439_1618,1439.0,1618.0,372
353,1618_1439,1618.0,1439.0,372
90,1323_1605,1323.0,1605.0,369
159,1590_404,1590.0,404.0,366
337,1614_357,1614.0,357.0,363
256,1605_1323,1605.0,1323.0,363
115,1419_1610,1419.0,1610.0,360
163,1590_995,1590.0,995.0,358
89,1311_1614,1311.0,1614.0,358
338,1614_732,1614.0,732.0,357
341,1614_1311,1614.0,1311.0,357
113,1416_1610,1416.0,1610.0,356
314,1610_1416,1610.0,1416.0,356
219,1602_424,1602.0,424.0,354
315,1610_1419,1610.0,1419.0,353
284,1609_1241,1609.0,1241.0,350
128,1479_1603,1479.0,1603.0,350
238,1603_1479,1603.0,1479.0,347
262,1605_1655,1605.0,1655.0,345
371,1655_1605,1655.0,1605.0,345
373,1657_1605,1657.0,1605.0,344
157,1582_1597,1582.0,1597.0,343
203,1597_1582,1597.0,1582.0,342
263,1605_1657,1605.0,1657.0,342
292,1609_1617,1609.0,1617.0,341
344,1617_1609,1617.0,1609.0,341
122,1433_1602,1433.0,1602.0,339
127,1479_1599,1479.0,1599.0,337
223,1602_1433,1602.0,1433.0,335
87,1311_1590,1311.0,1590.0,330
208,1599_1479,1599.0,1479.0,330
167,1590_1311,1590.0,1311.0,329
360,1620_709,1620.0,709.0,329
98,1351_1111,1351.0,1111.0,325
16,1035_1610,1035.0,1610.0,324
266,1607_349,1607.0,349.0,323
307,1610_1035,1610.0,1035.0,319
161,1590_832,1590.0,832.0,318
226,1602_1656,1602.0,1656.0,316
107,1392_1614,1392.0,1614.0,316
342,1614_1392,1614.0,1392.0,313
55,1238_1590,1238.0,1590.0,313
165,1590_1238,1590.0,1238.0,312
172,1590_1559,1590.0,1559.0,312
13,1022_1602,1022.0,1602.0,312
141,1559_1590,1559.0,1590.0,311
149,1574_1590,1574.0,1590.0,310
220,1602_1022,1602.0,1022.0,310
83,1291_1607,1291.0,1607.0,310
301,1610_976,1610.0,976.0,310
53,1227_1618,1227.0,1618.0,309
8,1008_1610,1008.0,1610.0,308
272,1607_1291,1607.0,1291.0,308
349,1618_1227,1618.0,1227.0,307
173,1590_1574,1590.0,1574.0,306
304,1610_1008,1610.0,1008.0,306
67,1240_1619,1240.0,1619.0,306
48,1208_1755,1208.0,1755.0,306
162,1590_855,1590.0,855.0,304
214,1602_194,1602.0,194.0,302
346,1618_764,1618.0,764.0,302
5,1001_1607,1001.0,1607.0,301
221,1602_1033,1602.0,1033.0,301
134,1529_1590,1529.0,1590.0,300
171,1590_1529,1590.0,1529.0,300
