,src_dst_id,src_id,dst_id,flow_num
135,1542_259,1542.0,259.0,6160
324,1612_1590,1612.0,1590.0,5457
174,1590_1612,1590.0,1612.0,5453
354,1618_1612,1618.0,1612.0,5417
333,1612_1618,1612.0,1618.0,5401
31,1101_259,1101.0,259.0,5335
216,1602_222,1602.0,222.0,4896
230,1602_2199,1602.0,2199.0,4858
231,1602_2219,1602.0,2219.0,4829
229,1602_2124,1602.0,2124.0,4829
29,1091_259,1091.0,259.0,4826
228,1602_2123,1602.0,2123.0,4810
133,1526_259,1526.0,259.0,4729
218,1602_414,1602.0,414.0,4438
130,1505_259,1505.0,259.0,4388
131,1510_259,1510.0,259.0,4370
366,1633_259,1633.0,259.0,4277
280,1607_2291,1607.0,2291.0,4158
211,1599_1612,1599.0,1612.0,3783
329,1612_1599,1612.0,1599.0,3768
225,1602_1612,1602.0,1612.0,3484
330,1612_1602,1612.0,1602.0,3461
358,1619_1612,1619.0,1612.0,3270
334,1612_1619,1612.0,1619.0,3261
61,1238_1619,1238.0,1619.0,3142
59,1238_1612,1238.0,1612.0,3116
355,1619_1238,1619.0,1238.0,3114
323,1612_1238,1612.0,1238.0,3012
126,1459_259,1459.0,259.0,2938
97,1346_259,1346.0,259.0,2929
46,1184_259,1184.0,259.0,2927
212,1600_259,1600.0,259.0,2920
10,1014_259,1014.0,259.0,2916
1,155_259,155.0,259.0,2915
384,1748_259,1748.0,259.0,2913
136,1549_259,1549.0,259.0,2913
21,1058_259,1058.0,259.0,2913
77,1270_259,1270.0,259.0,2909
120,1428_259,1428.0,259.0,2909
37,1112_259,1112.0,259.0,2909
75,1251_259,1251.0,259.0,2907
81,1285_259,1285.0,259.0,2905
79,1283_259,1283.0,259.0,2905
379,1722_259,1722.0,259.0,2903
23,1073_259,1073.0,259.0,2903
369,1653_259,1653.0,259.0,2902
51,1221_259,1221.0,259.0,2900
104,1385_259,1385.0,259.0,2899
85,1301_259,1301.0,259.0,2897
365,1623_259,1623.0,259.0,2896
54,1230_259,1230.0,259.0,2896
32,1106_259,1106.0,259.0,2894
381,1725_259,1725.0,259.0,2894
2,160_259,160.0,259.0,2893
41,1123_259,1123.0,259.0,2891
100,1370_259,1370.0,259.0,2890
27,1080_259,1080.0,259.0,2888
73,1243_259,1243.0,259.0,2887
