,percentile,cdf
0,0,0.0
1,1,0.5753390789031982
2,2,0.6494569778442383
3,5,0.7971289157867432
4,10,0.9596140384674072
5,15,1.000244140625
6,20,1.1088359355926514
7,25,1.2421059608459473
8,30,1.5823278427124023
9,35,2.358520030975342
10,40,3.3525760173797607
11,45,5.001188039779663
12,50,5.001384019851685
13,55,5.001555919647217
14,60,5.001995086669922
15,65,5.943874835968018
16,70,10.000129222869871
17,75,15.00648808479309
18,80,15.011569023132324
19,85,18.75917196273804
20,90,30.048042058944706
21,91,30.3919517993927
22,92,30.500020027160645
23,93,32.83084201812744
24,94,39.998544216156006
25,95,55.00699591636658
26,96,59.99996399879456
27,97,60.03930401802063
28,98,80.22770094871521
29,99,171.8949339389801
30,100,3827.88302898407
