,percentile,cdf
0,0,0.0
1,1,68.0
2,2,76.0
3,5,86.0
4,10,91.0
5,15,109.0
6,20,130.0
7,25,186.0
8,30,224.0
9,35,367.0
10,40,367.0
11,45,440.0
12,50,447.0
13,55,515.0
14,60,1038.0
15,65,1438.0
16,70,1782.0
17,75,2190.0
18,80,4148.0
19,85,8326.0
20,90,9445.0
21,91,9445.0
22,92,9529.0
23,93,9529.0
24,94,10138.0
25,95,12895.0
26,96,17438.0
27,97,24510.0
28,98,44065.0
29,99,114040.0
30,100,86684378.0
